year,neet_rate,gini,opportunity_rate,barrier_inequality,barrier_neet,mobility_opportunity,share_inequality,share_neet,share_opportunity,x,y
2018,23.2,35.2,63.62060836579482,1.0,1.0,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.5,0.28867513459481287
2019,22.1,34.6,53.74571830567788,0.5999999999999991,0.7380952380952386,0.4321463896729984,0.3389367816168835,0.41694604087791315,0.2441171775052032,0.5390046296305148,0.2114116772196611
2021,23.1,34.8,46.23075668477719,0.7333333333333295,0.9761904761904767,0.0,0.42896935933147495,0.5710306406685252,0.0,0.5710306406685252,0.0
2022,19.0,33.7,46.96882740886101,0.0,0.0,0.042442611795791244,0.0,0.0,1.0,0.5,0.8660254037844386
